epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6319.04,1.27125,1.05841,1.31207,0.87833,0.8625,0.91039,0.62986,1.15545,0.72883,1.29644,0.0009308,0.0009308,0.0009308
56,6428.4,1.16978,0.98179,1.24848,0.87243,0.76944,0.87866,0.57189,1.22454,0.85019,1.33973,0.000911,0.000911,0.000911
57,6536.33,1.19882,0.97561,1.26346,0.88689,0.8125,0.88619,0.5736,1.24845,0.84069,1.33089,0.0008912,0.0008912,0.0008912
58,6644.07,1.21662,0.97362,1.28173,0.92212,0.825,0.89983,0.61302,1.19224,0.7684,1.33657,0.0008714,0.0008714,0.0008714
59,6751.61,1.21528,0.94306,1.25076,0.92952,0.82425,0.89355,0.61849,1.16194,0.74277,1.33049,0.0008516,0.0008516,0.0008516
60,6859.33,1.25754,1.05755,1.27364,0.89321,0.83647,0.90063,0.58322,1.24435,0.83342,1.31897,0.0008318,0.0008318,0.0008318
61,6967.27,1.17926,1.00648,1.24177,0.81714,0.83788,0.89604,0.60776,1.18163,0.82944,1.30586,0.000812,0.000812,0.000812
62,7075.05,1.18064,0.983,1.25419,0.88644,0.8875,0.89768,0.57217,1.23866,0.78605,1.32354,0.0007922,0.0007922,0.0007922
63,7183.22,1.18056,0.96826,1.25072,0.92302,0.89931,0.90399,0.60223,1.19953,0.75173,1.30114,0.0007724,0.0007724,0.0007724
64,7291.26,1.14477,0.91928,1.23894,0.85772,0.8875,0.89357,0.58991,1.12513,0.75245,1.25776,0.0007526,0.0007526,0.0007526
65,7397.87,1.13137,0.91574,1.21641,0.84622,0.9,0.9017,0.61977,1.14243,0.7461,1.24981,0.0007328,0.0007328,0.0007328
66,7505,1.15238,0.97917,1.25605,0.89575,0.9125,0.93184,0.63225,1.1387,0.72519,1.25913,0.000713,0.000713,0.000713
67,7612,1.11838,0.89986,1.2409,0.90873,0.8625,0.93399,0.64726,1.0984,0.72311,1.23721,0.0006932,0.0006932,0.0006932
68,7719.21,1.15798,0.95535,1.23018,0.84406,0.8125,0.90475,0.6398,1.10028,0.76785,1.23699,0.0006734,0.0006734,0.0006734
69,7827.03,1.10664,0.86962,1.21098,0.86309,0.8625,0.91514,0.65306,1.13934,0.7023,1.27728,0.0006536,0.0006536,0.0006536
70,7934.21,1.08791,0.89674,1.20098,0.88936,0.8625,0.91784,0.62922,1.20351,0.7275,1.30235,0.0006338,0.0006338,0.0006338
71,8042.01,1.07176,0.88969,1.18295,0.89129,0.925,0.93864,0.6243,1.21106,0.70164,1.29139,0.000614,0.000614,0.000614
72,8149.74,1.05532,0.86401,1.19315,0.87088,0.92746,0.94278,0.66026,1.08814,0.70555,1.25919,0.0005942,0.0005942,0.0005942
73,8258.02,1.12016,0.89449,1.22786,0.90627,0.875,0.93872,0.64972,1.12272,0.6962,1.27917,0.0005744,0.0005744,0.0005744
74,8365.95,1.09007,0.86919,1.20132,0.9733,0.91123,0.97262,0.67362,1.08472,0.6286,1.2159,0.0005546,0.0005546,0.0005546
